nombre_categoria_producto,fecha_envio_limite
Deportes,2018-07-08;8/07/2018;8/07/2018;8/07/2018;8/07/2018;8/07/2018;19/05/2017;19/05/2017;19/05/2017;19/05/2017;19/05/2017;19/05/2017
Libros,2018-02-23;23/02/2018;4/02/2018;4/02/2018;26/03/2018;26/03/2018;4/05/2018
Ferretería,2017-02-21;2/08/2018;2/08/2018
Dormitorio,2018-10-05;8/02/2017;29/05/2017;29/05/2017
Productos_ecoamigables,2018-03-29;18/05/2018
Licor,2018-01-03
Lácteos,2017-06-09;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;10/04/2017;10/04/2017;21/03/2018;21/03/2018;27/03/2018;27/03/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;18/07/2017;18/07/2017;18/07/2017;13/06/2018;13/06/2018;13/06/2018;8/07/2018;8/07/2018;8/07/2018;31/01/2018;31/01/2018;31/01/2018;10/05/2017;7/11/2018;15/05/2017;18/05/2017;18/05/2017;23/03/2018;23/03/2018;23/03/2018;23/03/2018;26/07/2017
Frutas_y_verduras,2017-06-13;27/03/2018;5/11/2017
Carnicería,2018-08-22;3/01/2018;3/01/2018;3/01/2018;7/03/2018;7/03/2018;21/08/2018;16/05/2018;24/03/2017;18/01/2018;18/01/2018;18/01/2018;18/01/2018;18/01/2018;16/05/2018;16/05/2018;16/05/2018;16/05/2018;29/11/2017;29/11/2017;13/06/2018;13/06/2018;25/01/2018;4/12/2018;13/02/2018;13/02/2018;13/02/2018;13/02/2018;13/02/2018;19/04/2018;19/04/2018;19/04/2018;19/04/2018;19/04/2018;13/11/2017;13/11/2017;13/11/2017;17/04/2018;17/04/2018
Tarjetas_regalo,2018-08-02;2/08/2018;7/05/2017
